"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 00:00:00";"2";"0";"72";"1,57";"8388608";"854799";"10,19";"0";"7";"64";"6";"6"
"05.11.2015 00:05:00";"2";"0";"72";"1,57";"8388608";"999922";"11,92";"0";"8";"64";"5";"5"
"05.11.2015 00:10:00";"2";"0";"72";"1,57";"8388608";"905131";"10,79";"0";"8";"64";"5";"5"
"05.11.2015 00:15:00";"2";"0";"81";"1,77";"8388608";"1027604";"12,25";"0";"8";"64";"6";"6"
"05.11.2015 00:20:00";"2";"0";"70";"1,54";"8388608";"1374893";"16,39";"0";"8";"64";"5";"5"
"05.11.2015 00:25:00";"2";"0";"71";"1,55";"8388608";"1005794";"11,99";"0";"8";"64";"5";"5"
"05.11.2015 00:30:00";"2";"0";"71";"1,57";"8388608";"921908";"10,99";"0";"7";"64";"6";"6"
"05.11.2015 00:35:00";"2";"0";"73";"1,6";"8388608";"1022571";"12,19";"0";"9";"64";"5";"5"
"05.11.2015 00:40:00";"2";"0";"69";"1,52";"8388608";"1106457";"13,19";"0";"7";"64";"5";"5"
"05.11.2015 00:45:00";"2";"0";"129";"2,83";"8388608";"1564475";"18,65";"0";"116";"64";"22";"720"
"05.11.2015 00:50:00";"2";"0";"73";"1,59";"8388608";"2526649";"30,12";"0";"8";"64";"5";"5"
"05.11.2015 00:55:00";"2";"0";"72";"1,58";"8388608";"1279263";"15,25";"0";"8";"64";"5";"5"
"05.11.2015 01:00:00";"2";"0";"71";"1,55";"8388608";"854799";"10,19";"0";"8";"64";"6";"6"
"05.11.2015 01:05:00";"2";"0";"73";"1,59";"8388608";"989017";"11,79";"0";"9";"64";"5";"5"
"05.11.2015 01:10:00";"2";"0";"72";"1,58";"8388608";"1010827";"12,05";"0";"8";"64";"5";"5"
"05.11.2015 01:15:00";"2";"0";"80";"1,75";"8388608";"1016699";"12,12";"0";"8";"64";"6";"5"
"05.11.2015 01:20:00";"2";"0";"71";"1,55";"8388608";"1358116";"16,19";"0";"7";"64";"5";"5"
"05.11.2015 01:25:00";"2";"0";"72";"1,57";"8388608";"1027604";"12,25";"0";"7";"64";"5";"5"
"05.11.2015 01:30:00";"2";"0";"69";"1,52";"8388608";"938685";"11,19";"0";"7";"64";"5";"5"
"05.11.2015 01:35:00";"2";"0";"72";"1,58";"8388608";"798596";"9,52";"0";"7";"64";"5";"5"
"05.11.2015 01:40:00";"2";"0";"71";"1,55";"8388608";"865704";"10,32";"0";"7";"64";"5";"5"
"05.11.2015 01:45:00";"2";"0";"69";"1,51";"8388608";"1145045";"13,65";"0";"8";"64";"6";"6"
"05.11.2015 01:50:00";"2";"0";"72";"1,58";"8388608";"949590";"11,32";"0";"8";"64";"5";"5"
"05.11.2015 01:55:00";"2";"0";"72";"1,59";"8388608";"1067031";"12,72";"0";"8";"64";"5";"5"
"05.11.2015 02:00:00";"2";"0";"71";"1,55";"8388608";"1178599";"14,05";"0";"7";"64";"6";"5"
"05.11.2015 02:05:00";"2";"0";"72";"1,58";"8388608";"943718";"11,25";"0";"8";"64";"5";"5"
"05.11.2015 02:10:00";"2";"0";"71";"1,55";"8388608";"871576";"10,39";"0";"7";"64";"5";"5"
"05.11.2015 02:15:00";"2";"0";"80";"1,76";"8388608";"955462";"11,39";"0";"7";"64";"6";"6"
"05.11.2015 02:20:00";"2";"0";"71";"1,55";"8388608";"1369021";"16,32";"0";"8";"64";"5";"5"
"05.11.2015 02:25:00";"2";"0";"71";"1,56";"8388608";"1016699";"12,12";"0";"8";"64";"5";"5"
"05.11.2015 02:30:00";"2";"0";"70";"1,53";"8388608";"821245";"9,79";"0";"8";"64";"6";"6"
"05.11.2015 02:35:00";"2";"0";"72";"1,59";"8388608";"910164";"10,85";"0";"7";"64";"5";"5"
"05.11.2015 02:40:00";"2";"0";"71";"1,55";"8388608";"960496";"11,45";"0";"7";"64";"5";"5"
"05.11.2015 02:45:00";"2";"0";"69";"1,52";"8388608";"949590";"11,32";"0";"7";"64";"6";"5"
"05.11.2015 02:50:00";"2";"0";"71";"1,56";"8388608";"910164";"10,85";"0";"8";"64";"5";"5"
"05.11.2015 02:55:00";"2";"0";"73";"1,6";"8388608";"1083808";"12,92";"0";"8";"64";"5";"5"
"05.11.2015 03:00:00";"2";"0";"71";"1,55";"8388608";"1077936";"12,85";"0";"8";"64";"6";"6"
"05.11.2015 03:05:00";"2";"0";"72";"1,58";"8388608";"943718";"11,25";"0";"8";"64";"5";"5"
"05.11.2015 03:10:00";"2";"0";"71";"1,57";"8388608";"832150";"9,92";"0";"8";"64";"5";"5"
"05.11.2015 03:15:00";"2";"0";"79";"1,73";"8388608";"977273";"11,65";"0";"8";"64";"6";"5"
"05.11.2015 03:20:00";"2";"0";"71";"1,56";"8388608";"1547698";"18,45";"0";"7";"64";"5";"5"
"05.11.2015 03:25:00";"2";"0";"72";"1,58";"8388608";"1022571";"12,19";"0";"7";"64";"5";"5"
"05.11.2015 03:30:00";"2";"0";"70";"1,54";"8388608";"1005794";"11,99";"0";"7";"64";"6";"6"
"05.11.2015 03:35:00";"2";"0";"73";"1,6";"8388608";"989017";"11,79";"0";"7";"64";"5";"5"
"05.11.2015 03:40:00";"2";"0";"75";"1,64";"8388608";"1072903";"12,79";"0";"36";"64";"5";"5"
"05.11.2015 03:45:00";"2";"0";"70";"1,52";"8388608";"821245";"9,79";"0";"7";"64";"6";"5"
"05.11.2015 03:50:00";"2";"0";"72";"1,58";"8388608";"1039349";"12,39";"0";"6";"64";"5";"5"
"05.11.2015 03:55:00";"2";"0";"73";"1,59";"8388608";"905131";"10,79";"0";"7";"64";"5";"5"
"05.11.2015 04:00:00";"2";"0";"71";"1,56";"8388608";"1005794";"11,99";"0";"7";"64";"6";"6"
"05.11.2015 04:05:00";"2";"0";"73";"1,6";"8388608";"921908";"10,99";"0";"8";"64";"5";"5"
"05.11.2015 04:10:00";"2";"0";"72";"1,58";"8388608";"1106457";"13,19";"0";"8";"64";"5";"5"
"05.11.2015 04:15:00";"2";"0";"81";"1,78";"8388608";"1190343";"14,19";"0";"7";"64";"6";"5"
"05.11.2015 04:20:00";"2";"0";"70";"1,54";"8388608";"1509111";"17,99";"0";"7";"64";"5";"5"
"05.11.2015 04:25:00";"2";"0";"70";"1,54";"8388608";"989017";"11,79";"0";"7";"64";"5";"5"
"05.11.2015 04:30:00";"2";"0";"69";"1,52";"8388608";"854799";"10,19";"0";"6";"64";"6";"5"
"05.11.2015 04:35:00";"2";"0";"71";"1,56";"8388608";"1022571";"12,19";"0";"8";"64";"5";"5"
"05.11.2015 04:40:00";"2";"0";"71";"1,56";"8388608";"821245";"9,79";"0";"6";"64";"5";"5"
