tx_id,timestamp,sender,receiver,amount,fee,data
2de2809f-c471-49d3-92b6-8023857048f5,2025-03-18T10:08:50,0x34714f82,0x999f4333,93.57,4.53,{"memo":"Salary payment"}
f31b4d81-532c-4625-876a-30149afe8803,2025-03-18T10:08:55,0x1d6dadf9,0xb0a09f07,17.57,0.5,{"memo":"Payment for services"}
db6b26b3-77ef-48d4-b6d9-a16a1eda831c,2025-03-18T10:12:16,0x9d4115b3,0xd037d70e,81.5,0.59,{"memo":"Crowdfunding"}
7b5c7b45-6114-4f19-9b0b-bd9c4efcddb5,2025-03-18T10:13:40,0xa1704d3c,0xb9322d1d,21.43,0.95,{"memo":"Salary payment"}
0e88fb66-b061-41f3-bebb-b38a94d52dca,2025-03-18T10:17:50,0x577becef,0xd1de72fe,73.28,1.37,{"memo":"Utility bill"}
5c887595-b258-423e-8e46-7532beb54bd5,2025-03-18T10:23:32,0x434ab3b6,0xdcf7008d,86.78,3.16,{"memo":"Rental payment"}
8727071e-33d6-4c0a-85fc-2b1cb53e206d,2025-03-18T10:21:18,0x5fcd81a8,0x242f3c7b,84.48,1.66,{"memo":"Microtransaction fee"}
ce6230d4-f7bc-4e61-ae97-6beb4a1446ef,2025-03-18T10:26:12,0xe2dbfd55,0x9e3c4cc9,87.64,2.89,{"memo":"Donation"}
0b8ed8e9-677f-4e45-be60-3da77434fafb,2025-03-18T10:29:20,0x67013dbb,0x00168f97,92.32,1.16,{"memo":"Utility bill"}
c2491ce9-cce6-49e4-96a8-f86db91b0021,2025-03-18T10:35:04,0x6d64160d,0x915bbd3e,13.12,0.12,{"memo":"Rental payment"}
16d78705-91cf-44bc-9656-08f508f89e03,2025-03-18T10:33:33,0x78e5ed27,0x998696b0,27.67,0.26,{"memo":"Dividend distribution"}
b67c23d5-201d-448b-96ba-7be473aab5a6,2025-03-18T10:42:02,0x3c0457ba,0x87b8ecd6,21.57,0.31,{"memo":"Dividend distribution"}
3251e9f7-e62c-4185-afed-c6903e9dfb54,2025-03-18T10:45:15,0xbb0be31d,0x4609edd1,89.0,2.38,{"memo":"Crowdfunding"}
3fe09f3c-df1d-4372-be3b-97931bf50efa,2025-03-18T10:44:26,0x4d5f4fa7,0xcabe4608,87.49,0.84,{"memo":"Rental payment"}
223ae950-e64c-4e9d-a988-7f7666452562,2025-03-18T10:46:17,0xec6d8e82,0xd100db31,20.91,0.58,{"memo":"Loan repayment"}
0d41d21c-d641-478a-b87b-a2bbd762d344,2025-03-18T10:46:39,0x6798f493,0xb694b0cf,18.49,0.55,{"memo":"Donation"}
e32fd651-dae7-4cdb-bc6a-524416e64cb7,2025-03-18T10:51:57,0x9abf7f3f,0xe554565a,31.75,1.04,{"memo":"Refund"}
5d60b6a5-20b3-49a8-8be3-1a7ae7083609,2025-03-18T10:54:15,0x1919c6d1,0x39e036a9,29.18,1.27,{"memo":"Product purchase"}
d04de484-e52b-4542-9ef0-920a472380ad,2025-03-18T10:54:00,0x4bf588bb,0xc73dfdb9,81.47,3.55,{"memo":"Salary payment"}
4f59bae9-3df0-4f8b-9c0a-93c38b828fdf,2025-03-18T10:59:09,0xc0c1aa05,0x09cabce6,49.82,0.65,{"memo":"Consulting fee"}
415c9dfa-7dbc-450c-af0b-6e680e7236e1,2025-03-18T11:02:25,0x7e25924b,0xb5b035af,55.4,1.2,{"memo":"Donation"}
76aec939-ef8b-4d2a-96a9-41f468c575c3,2025-03-18T11:07:23,0x182a929c,0x6962a2b7,95.51,2.3,{"memo":"Rental payment"}
de2b5456-9a00-41e0-95a8-3e6cf0db36b1,2025-03-18T11:07:45,0x0feeebcf,0x17e47a2d,81.0,2.34,{"memo":"Gaming transaction"}
11c932af-bf8f-4575-bec6-bcc1d77cc865,2025-03-18T11:12:25,0x1a5dd0df,0x2795d072,58.42,0.43,{"memo":"Utility bill"}
80ea0559-69b7-4be1-bd27-11363a08b942,2025-03-18T11:18:11,0x1e260529,0x1c4b7fd7,73.14,2.25,{"memo":"Monthly subscription"}
180994f5-0d20-4240-8db6-689dba922454,2025-03-18T11:20:46,0x49f1f9e9,0x54879322,52.32,1.19,{"memo":"Microtransaction fee"}
0c11a8e1-f201-4d62-96fd-26a3fcca9b1d,2025-03-18T11:23:45,0xe077827f,0x830e6ec3,19.57,0.68,{"memo":"Crowdfunding"}
4f775478-46dc-4785-bdf2-fd7d06765056,2025-03-18T11:28:40,0x59f65777,0xaf980755,99.75,3.31,{"memo":"Donation"}
7ebc4397-b8df-4747-b20a-64407bd42a72,2025-03-18T11:28:57,0xdb254d1a,0x44944918,10.65,0.45,{"memo":"Utility bill"}
7872a27b-9030-4483-9096-25470a7ec0b2,2025-03-18T11:32:21,0x0d48bad5,0x6e652ab2,24.48,0.5,{"memo":"Marketplace sale"}
fbf0e909-3a83-4e37-874d-643583090e80,2025-03-18T11:34:09,0xd51f673c,0xf99044b7,37.11,1.47,{"memo":"Investment"}
dabd68a8-0c57-4f17-856d-88d2e251ad43,2025-03-18T11:36:32,0xef981749,0x26c5978f,14.63,0.6,{"memo":"Gaming transaction"}
7ef7ff76-1dd5-4f47-87ea-cf996ed0dde8,2025-03-18T11:38:04,0x77817173,0x796988f6,90.91,1.95,{"memo":"Donation"}
24382da9-1037-4c2d-b3e3-4653f5bf1984,2025-03-18T11:43:32,0xad0d5724,0x1e17c7b4,25.66,0.77,{"memo":"Gift"}
f6089e73-fc02-4952-8f64-565ff8ee17f5,2025-03-18T11:46:40,0xd652a306,0x7295c2a9,3.66,0.08,{"memo":"Donation"}
b1da77f4-626f-48ac-a646-bd6ffb1df283,2025-03-18T11:51:00,0x2e1507c6,0xa2cc34a3,56.1,2.63,{"memo":"Utility bill"}
b1a06ab9-200d-4ed7-9b63-be530b93e696,2025-03-18T11:51:35,0x62b9ea6d,0x84575434,41.82,1.83,{"memo":"Microtransaction fee"}
2537f9b8-4224-4f34-9f8c-9e30ed118f08,2025-03-18T11:51:12,0x4f9d2024,0x59e5b3d4,17.77,0.62,{"memo":"Crowdfunding"}
326fe42e-3119-4e43-b588-a321d522596c,2025-03-18T11:58:07,0xf520f8ae,0x2ce5e58d,61.57,0.37,{"memo":"Loan repayment"}
4c3a30d1-7da2-42f5-9e87-619e36a45298,2025-03-18T12:00:54,0x18615dc7,0xb010bd4f,50.4,1.34,{"memo":"Salary payment"}
72997a37-e176-4c41-90c8-7939db2413d6,2025-03-18T12:02:39,0xcabf72b3,0x28caaa97,59.69,1.2,{"memo":"Loan repayment"}
be4188e1-bb30-49de-b09e-c4395ec40b22,2025-03-18T12:08:07,0xc713a99b,0xb0c85ee2,9.69,0.42,{"memo":"Loan repayment"}
9a1cc206-d48d-47b8-a2dd-57a94de7bd47,2025-03-18T12:10:00,0xa2b221a6,0x3ede7a9b,49.72,0.38,{"memo":"Payment for services"}
0c277013-0c2a-4cf3-8b3a-ddb98604e381,2025-03-18T12:10:38,0x9d73386e,0xbfcc6584,67.84,0.91,{"memo":"Gift"}
15ffd150-6d0f-4a3f-939a-197dac96aeb5,2025-03-18T12:17:09,0x7aabb476,0x2efdab1c,71.04,2.78,{"memo":"Contract payment"}
c8430d73-e49d-44cf-ac78-e776f5606d93,2025-03-18T12:17:57,0x4418c303,0x0312f792,26.99,0.22,{"memo":"Payment for services"}
ad623abf-f323-4f5a-984b-1a7c7d2809a9,2025-03-18T12:16:41,0x6ea5063d,0xe2f7b5d3,29.74,1.05,{"memo":"Utility bill"}
162707d0-cb34-4daa-b4ee-b5bc13c60a93,2025-03-18T12:22:09,0x88a58d69,0xcb4b1deb,71.85,2.7,{"memo":"Monthly subscription"}
90df4819-730d-4584-882d-fdaaaac692fd,2025-03-18T12:24:18,0xc9ce8e67,0x8a0b2d59,97.56,0.97,{"memo":"Contract payment"}
8313349e-9d94-4462-b01d-710596609ea8,2025-03-18T12:31:02,0x40275548,0x04524574,89.02,4.02,{"memo":"Gift"}
3d54c567-a101-4747-8830-ff0d8cdef50a,2025-03-18T12:32:21,0x88fbf410,0x31d73a7c,26.86,0.98,{"memo":"Salary payment"}
c1f4ef54-7310-4fdb-ab78-d14a8939a26a,2025-03-18T12:34:10,0xf84b8510,0xbcb81ceb,63.68,1.34,{"memo":"Marketplace sale"}
95f41d15-7e60-420b-989c-1cc7689621ac,2025-03-18T12:37:27,0x76f8756d,0x4c368c74,99.15,3.38,{"memo":"Refund"}
2fd7a105-5651-4c48-8ceb-8da68a64ee6e,2025-03-18T12:39:18,0xc0775d40,0x16bb99c5,90.46,4.35,{"memo":"Payment for services"}
4123a14c-abf9-4bb1-8395-6052f3e52dbb,2025-03-18T12:46:53,0xab100e2a,0x1939309b,34.52,0.52,{"memo":"Gaming transaction"}
5bfa0608-5063-4b68-ade3-e26e30c31d00,2025-03-18T12:48:47,0x21ae0f4d,0xb2dee6c4,21.29,0.6,{"memo":"Refund"}
208719c8-3214-4d00-9c34-e82c5e9354a4,2025-03-18T12:51:46,0x21c15cc7,0x72deffd5,37.29,0.3,{"memo":"Gaming transaction"}
